Start Time,End Time,Steps
2023-05-22 11:12:39,2023-05-22 11:14:29,69
2023-05-22 11:14:29,2023-05-22 11:15:52,107
2023-05-22 11:15:52,2023-05-22 11:16:02,17
2023-05-22 11:16:02,2023-05-22 11:16:52,35
2023-05-22 12:57:05,2023-05-22 13:00:31,103
2023-05-22 13:00:31,2023-05-22 13:01:32,90
2023-05-22 13:01:32,2023-05-22 13:01:36,7
2023-05-22 13:01:36,2023-05-22 13:03:57,101
2023-05-22 13:03:57,2023-05-22 13:04:57,103
2023-05-22 13:04:57,2023-05-22 13:05:55,89
2023-05-22 13:05:55,2023-05-22 13:06:59,84
2023-05-22 13:06:59,2023-05-22 13:08:00,106
2023-05-22 13:08:00,2023-05-22 13:09:00,101
2023-05-22 13:09:00,2023-05-22 13:10:00,103
2023-05-22 13:10:00,2023-05-22 13:10:47,59
2023-05-22 13:11:22,2023-05-22 13:12:40,39
2023-05-22 13:12:40,2023-05-22 13:12:45,9
2023-05-22 13:12:45,2023-05-22 13:13:20,33
2023-05-22 13:17:33,2023-05-22 13:19:11,49
2023-05-22 13:21:45,2023-05-22 13:22:45,10
2023-05-22 13:27:00,2023-05-22 13:28:00,7
2023-05-22 13:28:00,2023-05-22 13:29:16,54
2023-05-22 13:29:39,2023-05-22 13:30:45,33
2023-05-22 13:30:45,2023-05-22 13:31:20,62
2023-05-22 13:31:20,2023-05-22 13:31:31,22
2023-05-22 13:31:31,2023-05-22 13:31:55,47
2023-05-22 13:31:55,2023-05-22 13:32:27,59
2023-05-22 13:32:27,2023-05-22 13:32:38,19
2023-05-22 13:32:38,2023-05-22 13:32:57,35
2023-05-22 13:32:57,2023-05-22 13:33:22,43
2023-05-22 13:34:07,2023-05-22 13:35:15,34
2023-05-22 13:35:15,2023-05-22 13:36:11,92
2023-05-22 13:36:11,2023-05-22 13:36:37,46
2023-05-22 13:36:37,2023-05-22 13:37:11,61
2023-05-22 13:37:11,2023-05-22 13:37:37,45
2023-05-22 13:37:37,2023-05-22 13:38:11,57
2023-05-22 13:38:11,2023-05-22 13:38:38,46
2023-05-22 13:38:38,2023-05-22 13:39:12,59
2023-05-22 13:39:12,2023-05-22 13:39:38,46
2023-05-22 13:39:38,2023-05-22 13:40:23,81
2023-05-22 13:40:23,2023-05-22 13:40:51,46
2023-05-22 13:40:51,2023-05-22 13:41:25,59
2023-05-22 13:41:25,2023-05-22 13:41:54,50
2023-05-22 13:41:54,2023-05-22 13:42:04,17
2023-05-22 13:42:04,2023-05-22 13:43:58,60
2023-05-22 13:43:58,2023-05-22 13:44:40,73
2023-05-22 13:44:40,2023-05-22 13:44:44,6
2023-05-22 13:44:44,2023-05-22 13:47:13,109
2023-05-22 13:47:13,2023-05-22 13:47:33,34
2023-05-22 13:47:33,2023-05-22 13:48:34,67
2023-05-22 13:53:54,2023-05-22 13:54:54,10
2023-05-22 13:55:56,2023-05-22 13:56:56,21
2023-05-22 14:00:59,2023-05-22 14:01:59,12
2023-05-22 15:34:56,2023-05-22 15:37:42,83
2023-05-22 15:37:42,2023-05-22 15:38:49,44
2023-05-22 15:38:49,2023-05-22 15:39:43,18
2023-05-22 15:40:11,2023-05-22 15:41:11,6
2023-05-22 16:04:40,2023-05-22 16:05:40,29
2023-05-22 16:05:40,2023-05-22 16:05:48,14
2023-05-22 16:05:48,2023-05-22 16:06:40,82
2023-05-22 16:06:40,2023-05-22 16:06:50,13
2023-05-22 16:25:40,2023-05-22 16:27:26,53
2023-05-22 16:27:26,2023-05-22 16:27:54,51
2023-05-22 16:27:54,2023-05-22 16:28:31,58
2023-05-22 16:28:31,2023-05-22 16:29:08,57
2023-05-22 16:29:08,2023-05-22 16:29:36,36
2023-05-22 16:29:36,2023-05-22 16:30:10,52
2023-05-22 16:30:10,2023-05-22 16:30:50,62
2023-05-22 16:30:50,2023-05-22 16:31:20,45
2023-05-22 16:31:20,2023-05-22 16:32:14,82
2023-05-22 16:32:14,2023-05-22 16:32:39,29
2023-05-22 16:32:39,2023-05-22 16:33:17,53
2023-05-22 16:33:17,2023-05-22 16:33:46,41
2023-05-22 16:33:46,2023-05-22 16:34:25,57
2023-05-22 16:34:25,2023-05-22 16:34:51,36
2023-05-22 16:34:51,2023-05-22 16:35:29,57
2023-05-22 16:35:29,2023-05-22 16:35:54,40
2023-05-22 16:35:54,2023-05-22 16:36:14,31
2023-05-22 16:36:14,2023-05-22 16:36:58,50
2023-05-22 16:36:58,2023-05-22 16:37:36,57
2023-05-22 16:37:36,2023-05-22 16:38:00,37
2023-05-22 16:38:00,2023-05-22 16:38:38,61
2023-05-22 16:38:38,2023-05-22 16:39:02,34
2023-05-22 16:39:02,2023-05-22 16:39:40,66
2023-05-22 16:39:40,2023-05-22 16:40:04,34
2023-05-22 16:40:04,2023-05-22 16:40:40,59
2023-05-22 16:40:40,2023-05-22 16:41:04,43
2023-05-22 16:41:04,2023-05-22 16:41:40,51
2023-05-22 16:41:40,2023-05-22 16:42:05,43
2023-05-22 16:42:59,2023-05-22 16:43:59,24
2023-05-22 20:13:05,2023-05-22 20:16:45,110
2023-05-22 20:16:45,2023-05-22 20:17:45,103
2023-05-22 20:17:45,2023-05-22 20:18:44,103
2023-05-22 20:18:44,2023-05-22 20:19:55,119
2023-05-22 20:19:55,2023-05-22 20:20:56,109
2023-05-22 20:20:56,2023-05-22 20:21:56,111
2023-05-22 20:21:56,2023-05-22 20:22:56,114
2023-05-22 20:22:56,2023-05-22 20:23:57,114
2023-05-22 20:23:57,2023-05-22 20:24:57,108
2023-05-22 20:24:57,2023-05-22 20:25:51,67
2023-05-22 20:25:51,2023-05-22 20:27:03,110
2023-05-22 20:27:03,2023-05-22 20:27:31,41
2023-05-22 21:58:21,2023-05-22 21:59:37,38
2023-05-22 21:59:37,2023-05-22 22:00:39,114
2023-05-22 22:00:39,2023-05-22 22:00:46,14
2023-05-22 22:00:46,2023-05-22 22:01:42,97
2023-05-22 22:01:42,2023-05-22 22:01:50,13
